"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Curacao","CUW","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.69999980926514","","7.19999980926514","5.69999980926514","4.90000009536743","5.09999990463257","4.09999990463257","4","","","7.5","5.40000009536743","3.59999990463257","4.30000019073486","3.5","2.59999990463257","3.79999995231628","4","","","","","",
"Cyprus","CYP","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09999990463257","","","","","","","5.69999980926514","5","4","3.29999995231628","4.09999990463257","4.30000019073486","5.30000019073486","4.5","3.90000009536743","3.59999990463257","5.40000009536743","6.30000019073486","7.90000009536743","11.8000001907349","",
"Czech Republic","CZE","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.29999995231628","","4.30000019073486","4.30000019073486","4","3.90000009536743","4.80000019073486","6.5","8.69999980926514","8.80000019073486","8.10000038146973","7.30000019073486","7.80000019073486","8.30000019073486","7.90000009536743","7.09999990463257","5.30000019073486","4.40000009536743","6.69999980926514","7.30000019073486","6.69999980926514","7","",
"Germany","DEU","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.59999990463257","6.59999990463257","7.90000009536743","8.39999961853027","8.10000038146973","8.89999961853027","9.80000019073486","9.19999980926514","8.39999961853027","7.69999980926514","7.80000019073486","8.60000038146973","9.30000019073486","10.3000001907349","11.1000003814697","10.3000001907349","8.60000038146973","7.5","7.69999980926514","7.09999990463257","5.90000009536743","5.40000009536743","",
"Djibouti","DJI","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.5","","","","","","","","","","","59.5","","","","","","","","","","","",
"Dominica","DMA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3000001907349","","9.80000019073486","","","","","","23.2000007629395","","15.6999998092651","","11","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","9.69999980926514","8.89999961853027","7.80000019073486","6","6.09999990463257","6.5","8.10000038146973","8.30000019073486","9.10000038146973","9","10.6999998092651","8","7","6.80000019073486","5.40000009536743","5","5.09999990463257","4.5","4.19999980926514","4.59999990463257","5.40000009536743","5.5","4.80000019073486","3.90000009536743","3.79999995231628","3.40000009536743","6","7.5","7.59999990463257","7.5","",
"Dominican Republic","DOM","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8999996185303","20.7000007629395","19.8999996185303","16.2000007629395","15.8000001907349","16.7000007629395","15.6000003814697","14.3999996185303","13.8000001907349","14.1999998092651","15.6999998092651","16.1000003814697","16.7000007629395","18.3999996185303","18","16.3999996185303","15.6999998092651","14.1999998092651","14.8999996185303","12.3999996185303","14.6999998092651","","",
"Algeria","DZA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8999996185303","19.7999992370605","20.6000003814697","23","23.2000007629395","24.3999996185303","27.8999996185303","","25.3999996185303","","","29.7999992370605","27.2999992370605","25.8999996185303","23.7000007629395","20.1000003814697","15.3000001907349","12.3000001907349","13.8000001907349","11.3000001907349","10.1999998092651","10","10","","",
"East Asia & Pacific (developing only)","EAP","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81238707176729","2.55538940733558","2.52923607188651","2.79534106995071","2.94294163146661","3.1167652564715","3.164506775675","3.31994132318991","3.5267796508821","3.61242965151505","3.61023621762239","4.23991894776435","4.62345657899354","4.89289296548444","4.87313985088984","4.98163975486653","4.82088896114912","4.59007926848832","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79669629961368","2.60485272242833","2.59720194226175","2.86973940076284","3.00693222533029","3.16272676359847","3.20983406353675","3.35785894154999","3.68958969323798","3.78810556465409","3.73848336557787","4.31135974695261","4.67170920293041","4.90366682934564","4.84544602190106","4.91407837341362","4.73856518849969","4.50662228991727","","","","","","",
"Europe & Central Asia (developing only)","ECA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.23662139866115","9.47246154577908","10.2620727432585","9.68459799230559","10.4460711971281","10.1190890601837","9.57634592144044","9.44202346251456","8.86958560102438","8.93811196541564","8.90974074782055","8.69082096533927","10.3893932622231","10.0299223281693","9.23427129953471","8.74552686087486","",
